offense_code,offense_name,crime_against,ct_flag,hc_flag,hc_code,offense_category_name,offense_group
36B,Statutory Rape,Person,f,t,  ,"Sex Offenses, Non-forcible",A
370,Pornography/Obscene Material,Society,f,t,  ,Pornography/Obscene Material,A
39A,Betting/Wagering,Society,f,t,  ,Gambling Offenses,A
39B,Operating/Promoting/Assisting Gambling,Society,f,t,  ,Gambling Offenses,A
39C,Gambling Equipment Violation,Society,f,t,  ,Gambling Offenses,A
39D,Sports Tampering,Society,f,t,  ,Gambling Offenses,A
40A,Prostitution,Society,f,t,  ,Prostitution Offenses,A
40B,Assisting or Promoting Prostitution,Society,f,t,  ,Prostitution Offenses,A
40C,Purchasing Prostitution,Society,f,t,  ,Prostitution Offenses,A
510,Bribery,Property,t,t,  ,Bribery,A
520,Weapon Law Violations,Society,f,t,  ,Weapon Law Violations,A
64A,"Human Trafficking, Commercial Sex Acts",Person,f,t,12,Human Trafficking,A
64B,"Human Trafficking, Involuntary Servitude",Person,f,t,13,Human Trafficking,A
58B,Export Violations,Society,f,f,  ,Other Offenses,A
58A,Import Violations,Society,f,f,  ,Other Offenses,A
61A,Federal Liquor Offenses,Society,f,f,  ,Other Offenses,A
61B,Federal Tobacco Offenses,Society,f,f,  ,Other Offenses,A
49C,Flight to Avoid Deportation,Society,f,f,  ,Other Offenses,A
26H,Money Laundering,Society,f,f,  ,Other Offenses,A
620,Wildlife Trafficking,Society,f,f,  ,Other Offenses,A
49B,Flight to Avoid Prosecution,Society,f,f,  ,Other Offenses,A
49A,Harboring Escapee/Concealing from Arrest,Society,f,f,  ,Other Offenses,A
360,Failure to Register as a Sex Offender,Society,f,f,  ,Other Offenses,A
526,Explosives Violation,Society,f,f,  ,Other Offenses,A
522,Weapons of Mass Destruction,Society,f,f,  ,Other Offenses,A
521,Violation of National Firearm Act of 1934,Society,f,f,  ,Other Offenses,A
101,Treason,Society,f,f,  ,Other Offenses,A
103,Espionage,Society,f,f,  ,Other Offenses,A
30A,Illegal Entry into the United States,Society,f,f,  ,Other Offenses,A
30B,False Citizenship,Society,f,f,  ,Other Offenses,A
30C,Smuggling Aliens,Society,f,f,  ,Other Offenses,A
30D,Re-entry after Deportation,Society,f,f,  ,Other Offenses,A
720,Animal Cruelty,Society,f,f,  ,Animal Cruelty,A
90A,Bad Checks,Property,f,f,  ,Bad Checks,B
90B,Curfew/Loitering/Vagrancy Violations,Society,f,f,  ,Curfew/Loitering/Vagrancy Violations,B
90C,Disorderly Conduct,Society,f,f,  ,Disorderly Conduct,B
90D,Driving Under the Influence,Society,f,f,  ,Driving Under the Influence,B
90E,Drunkenness,Society,f,f,  ,Drunkenness,B
90F,"Family Offenses, Nonviolent",Person,f,f,  ,"Family Offenses, Nonviolent",B
90G,Liquor Law Violations,Society,f,f,  ,Liquor Law Violations,B
90H,Peeping Tom,Person,f,f,  ,Peeping Tom,B
90J,Trespass of Real Property,Society,f,f,  ,Trespass of Real Property,B
90Z,All Other Offenses,Society,f,f,  ,All Other Offenses,B
90K,Failure to Appear,Society,f,f,  ,Other Offenses,B
90L,Federal Resource Violations,Society,f,f,  ,Other Offenses,B
90M,Perjury,Society,f,f,  ,Other Offenses,B
90I,Runaway,Not a Crime,f,f,  ,Other Offenses, 
